Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom
2017-02-13,0.49,-0.27,0.34,-0.01,0.04,0.00,0.31
2017-02-14,0.45,-0.17,0.35,-0.44,-0.09,0.00,0.12
2017-02-15,0.53,0.14,-0.42,0.20,-0.05,0.00,-0.21
2017-02-16,-0.16,-0.22,0.00,0.27,-0.21,0.00,-0.07
2017-02-17,0.20,-0.07,-0.54,0.01,-0.40,0.00,-0.41
2017-02-21,0.60,0.06,0.13,0.32,0.36,0.00,0.08
2017-02-22,-0.15,-0.38,0.10,0.48,-0.32,0.00,-0.06
2017-02-23,-0.12,-0.71,0.24,-0.26,-0.45,0.00,-0.55
2017-02-24,0.15,-0.11,-0.96,0.31,-0.21,0.00,-0.62
2017-02-27,0.21,0.85,-0.34,-0.36,-0.13,0.00,0.13
2017-02-28,-0.42,-1.35,0.14,-0.02,-0.19,0.00,0.14
2017-03-01,1.47,0.51,0.77,-0.53,0.53,0.00,1.30
2017-03-02,-0.69,-0.54,-0.90,0.62,-0.43,0.00,-1.14
2017-03-03,0.08,-0.17,0.14,-0.06,-0.09,0.00,0.64
2017-03-06,-0.37,-0.40,-0.08,-0.05,0.00,0.00,0.02
2017-03-07,-0.35,-0.35,-0.07,0.09,-0.25,0.00,0.11
2017-03-08,-0.19,-0.19,-0.83,0.44,-0.75,0.00,-0.71
2017-03-09,0.05,-0.52,-0.23,-0.58,-0.16,0.00,-0.18
2017-03-10,0.34,0.06,-0.47,0.27,0.03,0.00,-0.20
2017-03-13,0.13,0.31,-0.08,-0.11,0.05,0.00,0.54
2017-03-14,-0.36,-0.22,-0.01,0.50,-0.25,0.00,-0.16
2017-03-15,0.86,0.69,-0.46,-0.11,0.50,0.00,-0.03
2017-03-16,-0.07,0.44,0.23,-0.16,-0.37,0.00,-0.19
2017-03-17,-0.08,0.57,-0.34,0.15,0.03,0.00,0.14
2017-03-20,-0.25,-0.20,-0.71,-0.15,-0.07,0.00,-0.02
2017-03-21,-1.49,-1.40,-0.71,0.84,0.29,0.00,-1.69
2017-03-22,0.16,-0.33,-0.57,0.16,-0.15,0.00,0.22
2017-03-23,-0.03,0.74,0.49,-0.03,0.21,0.00,0.15
2017-03-24,-0.05,0.11,-0.20,-0.26,-0.31,0.00,0.08
2017-03-27,-0.05,0.46,-0.49,-0.21,-0.26,0.00,-0.31
2017-03-28,0.73,-0.04,0.72,0.05,0.41,0.00,0.37
2017-03-29,0.18,0.33,-0.09,-0.25,0.15,0.00,-0.46
2017-03-30,0.36,0.42,0.92,-0.06,-0.14,0.00,0.72
2017-03-31,-0.16,0.54,-0.32,0.04,0.10,0.00,0.00
2017-04-03,-0.28,-1.15,-0.08,-0.16,-0.09,0.00,0.04
2017-04-04,0.05,-0.24,0.31,-0.08,0.19,0.00,0.37
2017-04-05,-0.44,-0.82,-0.30,0.45,-0.08,0.00,-0.45
2017-04-06,0.31,0.73,0.48,-0.13,0.37,0.00,0.07
2017-04-07,-0.08,0.08,-0.26,0.01,-0.05,0.00,0.01
2017-04-10,0.08,0.14,0.07,0.19,0.46,0.00,-0.91
2017-04-11,-0.05,0.80,0.23,0.20,0.18,0.00,0.14
2017-04-12,-0.49,-0.94,-0.54,-0.04,-0.55,0.00,-0.60
2017-04-13,-0.75,-0.35,-0.81,-0.03,-0.38,0.00,-0.31
2017-04-17,0.89,0.29,0.24,0.03,-0.14,0.00,0.52
2017-04-18,-0.25,0.31,-0.19,0.31,0.12,0.00,-0.03
2017-04-19,-0.08,0.56,-0.44,0.43,-0.84,0.00,0.19
2017-04-20,0.83,0.59,0.26,0.20,-0.19,0.00,0.44
2017-04-21,-0.28,0.06,-0.15,0.35,-0.20,0.00,0.19
2017-04-24,1.18,0.26,0.50,-0.08,0.14,0.00,0.92
2017-04-25,0.66,0.40,-0.07,-0.37,0.31,0.00,0.12
2017-04-26,0.04,0.75,0.32,0.23,-0.01,0.00,-0.23
2017-04-27,0.05,-0.20,-0.97,0.20,-0.56,0.00,0.25
2017-04-28,-0.30,-0.76,-0.60,0.09,-0.21,0.00,-0.07
2017-05-01,0.21,0.23,-0.11,-0.20,-0.52,0.00,0.96
2017-05-02,0.03,-0.45,-0.23,0.42,-0.29,0.00,-0.57
2017-05-03,-0.19,-0.51,0.23,-0.05,0.10,0.00,-0.03
2017-05-04,0.02,-0.14,-0.33,0.32,-0.73,0.00,-0.01
2017-05-05,0.46,0.09,0.00,-0.23,0.64,0.00,-0.31
2017-05-08,-0.04,-0.20,0.25,0.13,0.07,0.00,0.00
2017-05-09,-0.05,0.40,-0.80,0.34,-0.34,0.00,0.04
2017-05-10,0.20,0.25,0.03,-0.31,0.38,0.00,0.03
2017-05-11,-0.25,-0.43,-0.16,-0.25,-0.03,0.00,0.13
2017-05-12,-0.18,-0.38,-0.61,-0.27,-0.32,0.00,0.31
2017-05-15,0.53,0.25,0.20,-0.30,0.03,0.00,0.10
2017-05-16,-0.03,0.10,-0.09,-0.24,-0.12,0.00,0.84
2017-05-17,-1.97,-0.95,-0.60,0.53,0.28,0.00,-1.54
2017-05-18,0.40,0.00,-0.38,-0.35,-0.59,0.00,0.58
2017-05-19,0.70,-0.33,0.40,-0.09,0.80,0.00,-0.25
2017-05-22,0.56,0.25,-0.30,-0.05,-0.30,0.00,0.35
2017-05-23,0.18,-0.02,0.64,-0.23,0.06,0.00,0.56
2017-05-24,0.24,-0.20,-0.46,0.15,-0.29,0.00,0.13
2017-05-25,0.42,-0.35,-0.74,0.55,-0.62,0.00,0.59
2017-05-26,0.06,-0.02,0.10,0.18,0.21,0.00,0.17
2017-05-30,-0.19,-0.54,-0.35,0.63,-0.01,0.00,0.07
2017-05-31,-0.02,-0.04,-0.53,0.27,-0.07,0.00,-0.03
2017-06-01,0.94,1.01,0.04,-0.22,0.08,0.00,-0.42
2017-06-02,0.35,0.43,-0.76,0.17,-0.46,0.00,0.56
2017-06-05,-0.17,-0.45,-0.04,-0.17,0.05,0.00,0.05
2017-06-06,-0.28,0.10,-0.03,-0.47,0.35,0.00,-0.12
2017-06-07,0.15,-0.12,-0.04,0.53,-0.66,0.00,1.16
2017-06-08,0.18,1.19,0.93,-0.69,-0.05,0.00,0.96
2017-06-09,-0.12,0.31,2.44,-0.16,1.09,0.00,-1.60
2017-06-12,-0.12,-0.16,0.34,0.08,0.58,0.00,-1.23
2017-06-13,0.55,0.05,-0.14,-0.30,-0.07,0.00,0.53
